,country_name,gdp_per_capita,life_expectancy,literacy_rate
0,Albania,5246.292306,80.201,0.9776112366
1,Algeria,3306.858208,78.133,0.7532296753
2,Angola,1776.166868,64.039,0.534072113
3,Antigua and Barbuda,,78.104,0.9941999817
4,Arab World,5612.68657,73.8323145,0.6619689941
5,Argentina,8579.017773,79.995,0.9906204224
6,Armenia,4266.018074,78.516,0.9974450684
7,Aruba,30253.27936,78.641,0.9781268311
8,Azerbaijan,4221.407478,75.455,0.9972675323
9,Bahrain,20409.9528,78.423,0.8901043701
10,Bangladesh,1961.613749,74.595,0.7200478363
11,Barbados,,80.482,0.9959999847
12,Belarus,6424.152176,79.4,0.9987651062
13,Belize,4115.177008,77.843,0.7712272644
14,Benin,1291.040972,63.324,0.3107164955
15,Bhutan,3000.779327,72.176,0.5708361816
16,Bolivia,3133.099803,74.508,0.8858286285
17,Bosnia and Herzegovina,6079.738285,79.857,0.9491049194
18,Botswana,6404.899932,72.386,0.8745121002
19,Brazil,6796.844542,79.555,0.9342507172
20,Brunei Darussalam,27442.95383,77.106,0.963012619
21,Bulgaria,10079.20338,78.5,0.9798390198
22,Burkina Faso,857.9327297,62.294,0.3104408073
23,Burundi,238.9907259,63.377,0.6122369003
24,Cabo Verde,3064.272388,76.197,0.8204222107
25,Cambodia,1543.669258,71.909,0.7503386688
26,Cameroon,1537.130218,60.561,0.7158627319
27,Caribbean small states,8873.521929,76.03260466,0.9306014252
28,Cayman Islands,85082.52686,84.7,0.9902147675
29,Central African Republic,492.7958712,55.514,0.2575638008
30,Central Europe and the Baltics,16168.19665,80.83361216,0.9870231628
31,Chad,659.270045,55.669,0.1395522976
32,Chile,13231.70421,82.442,0.9633402252
33,China,10434.77519,79.244,0.9515933228
34,Colombia,5334.556042,80.019,0.9587506104
35,Comoros,1420.661747,66.121,0.5295639038
36,"Congo, Dem. Rep.",543.9503925,62.233,0.6649997711
37,"Congo, Rep.",1846.131297,66.023,0.7461875916
38,Costa Rica,12140.85415,82.893,0.9792443085
39,Cote d'Ivoire,2325.723705,59.119,0.8674124908
40,Croatia,14134.16268,81.6,0.9866590881
41,Cuba,9477.852873,80.779,0.9979988098
42,Cyprus,27527.84531,83.032,0.981162262
43,Dominican Republic,7268.19691,77.381,0.9376412964
44,Early-demographic dividend,3201.652532,72.61796952,0.7482480621
45,East Asia & Pacific,11477.79259,78.88453583,0.9439044952
46,East Asia & Pacific (excluding high income),8254.670871,77.95926923,0.9463996124
47,East Asia & Pacific (IDA & IBRD countries),8346.03881,77.98772268,0.9457164001
48,Ecuador,5600.389615,79.838,0.92490242
49,"Egypt, Arab Rep.",3569.206841,74.35,0.6550569153
50,El Salvador,3798.636521,77.842,0.8731858826
51,Equatorial Guinea,7143.238705,59.918,0.906760788
52,Eritrea,642.5082588,68.555,0.6894618988
53,Estonia,23027.027,82.8,0.9990947723
54,Eswatini,3424.282212,64.845,0.8854268646
55,Ethiopia,936.3404611,68.536,0.4442338181
56,Europe & Central Asia,23955.30516,81.22851322,0.9801039886
57,Europe & Central Asia (excluding high income),7668.524344,77.94593451,0.9861837769
58,Europe & Central Asia (IDA & IBRD countries),8387.390693,78.29371353,0.9859620667
59,Fragile and conflict affected situations,1622.216976,64.26599742,0.5675857925
60,Gabon,6881.715192,68.669,0.8342397308
61,"Gambia, The",773.0020701,63.481,0.4157701874
62,Georgia,4266.690795,78.14,0.9945179749
63,Ghana,2205.529016,65.177,0.7447438812
64,Greece,17622.541,84.5,0.9739409637
65,Grenada,9261.551876,74.953,0.9859999847
66,Guam,34624.34013,83.55,0.993085022
67,Guatemala,4603.339617,77.151,0.7672338104
68,Guinea,1194.037865,62.117,0.276925602
69,Guinea-Bissau,727.5201717,60.213,0.3076851082
70,Guyana,6955.939217,73.095,0.8503460693
71,Haiti,1272.367992,66.182,0.5830052185
72,Heavily indebted poor countries (HIPC),968.6904998,65.25702815,0.5634822083
73,Honduras,2389.012431,77.551,0.8873169708
74,Hungary,15980.74089,79.3,0.9909999847
75,IBRD only,6149.361544,76.04498363,0.8654943085
76,IDA & IBRD total,4891.090255,73.50250239,0.8069199371
77,IDA blend,1674.917871,63.6103436,0.5876726151
78,IDA only,1126.932467,67.53455164,0.6054933167
79,IDA total,1310.67516,66.23039298,0.6015475845
80,India,1927.707823,70.95,0.6579080963
81,Indonesia,3869.588427,73.967,0.9455235291
82,"Iran, Islamic Rep.",2422.480657,77.885,0.8078743744
83,Iraq,4145.862936,72.652,0.7990000153
84,Israel,44168.94364,84.7,0.8867472076
85,Italy,31714.22095,85.4,0.989719162
86,Jamaica,4664.530242,76.118,0.9269999695
87,Jordan,4282.765825,76.306,0.9783207703
88,Kazakhstan,9122.23343,77.3,0.9973899078
89,Kenya,1878.580703,69.049,0.781889267
90,Kuwait,24811.76971,76.58,0.9535169983
91,Kyrgyz Republic,1173.611304,75.8,0.9949971771
92,Lao PDR,2629.714583,69.746,0.7939103699
93,Late-demographic dividend,9683.425159,79.2553603,0.9527838135
94,Latin America & Caribbean,7244.659419,78.76034912,0.9406754303
95,Latin America & Caribbean (excluding high income),6779.199717,78.738835,0.9393205261
96,Latin America & the Caribbean (IDA & IBRD countries),7035.753075,78.6997166,0.9396327972
97,Latvia,17726.25294,79.9,0.9990640259
98,Least developed countries: UN classification,1053.752571,67.25647715,0.5900613022
99,Lebanon,4649.547646,80.869,0.9330500793
100,Lesotho,875.353433,57.58,0.8493489075
101,Liberia,632.9363856,65.497,0.3409225845
102,Libya,3699.294765,75.951,0.7780000305
103,Lithuania,20233.64135,81.0,0.9983323669
104,Low & middle income,4754.8241,73.42653322,0.8054428864
105,Low income,691.1683328,65.6341752,0.5407807922
106,Lower middle income,2217.214884,70.88720536,0.6996179199
107,"Macao SAR, China",39403.13591,87.179,0.9503256989
108,Madagascar,471.4914963,68.682,0.7507057953
109,Malawi,636.8205368,67.413,0.5520410919
110,Malaysia,10412.34898,78.317,0.9364668274
111,Maldives,6924.105745,80.779,0.9811470795
112,Mali,862.4530188,60.085,0.2207847023
113,Malta,27884.64283,84.7,0.9598872375
114,Marshall Islands,4129.850998,67.8,0.9820298004
115,Mauritania,1701.991163,66.515,0.4335438919
116,Mauritius,8627.843157,77.56,0.8936637878
117,Mexico,8329.271313,77.879,0.9449513245
118,Middle East & North Africa,6534.395623,76.07848382,0.7319931793
119,Middle East & North Africa (excluding high income),3018.433655,75.69270482,0.7035214233
